Part identifier,Part name,Quantity,Rough thickness,Rough width,Rough length,Finished thickness,Finished width,Finished length,Grain orientation,Board assignment,Domino-joint notes,Groove notes,Panel-opening relationship,Field-fit status,Chapter reference,Figure reference
D-101C-SF,Top rail show-face lamella/sheet,1,0.3125,4.2500,16.2500,0.3125,4.2500,16.2500,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101C-BF,Top rail back-face lamella/sheet,1,0.3125,4.2500,16.2500,0.3125,4.2500,16.2500,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101M,Upper intermediate rail,1,1.5000,4.2500,16.2500,1.3750,4.0000,15.2500,horizontal,STOCK-J  + STOCK- signed FP-05; J one-piece core plus paired one-piece-width faces from the signed pool; CHK-SM-01; CONDITIONAL - LAMINATED MEMBER; LS-05 CHK-SM-01; CHK-FP-01; CHK-LAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101M-CORE,Upper intermediate rail long-grain core sheet,1,0.8750,4.2500,16.2500,0.8750,4.2500,16.2500,continuous with member,J-M-CORE; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101M-SF,Upper intermediate rail show-face lamella/sheet,1,0.3125,4.2500,16.2500,0.3125,4.2500,16.2500,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101M-BF,Upper intermediate rail back-face lamella/sheet,1,0.3125,4.2500,16.2500,0.3125,4.2500,16.2500,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101D,Lock rail,1,1.5000,7.2500,16.2500,1.3750,7.0000,15.2500,horizontal,STOCK-L  + STOCK- signed FP-05; L 5-inch + 2-1/4-inch stave-built core and FP-05 staggered faces; CHK-SM-01/CHK-LAM-01/CHK-SEAM-01; CONDITIONAL - MAPPED SEAMS; LS-05 CHK-SM-01; CHK-FP-01; CHK-LAM-01; CHK-SEAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101D-CORE,Lock rail long-grain core sheet,1,0.8750,7.2500,16.2500,0.8750,7.2500,16.2500,continuous with member,L-DW-CORE + L-DN-CORE; core 2-1/4 from finished top; show face 4-3/8; back face 4-7/8; all +/-1/32,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101D-SF,Lock rail show-face lamella/sheet,1,0.3125,7.2500,16.2500,0.3125,7.2500,16.2500,continuous with member,signed FP-05; core 2-1/4 from finished top; show face 4-3/8; back face 4-7/8; all +/-1/32,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101D-BF,Lock rail back-face lamella/sheet,1,0.3125,7.2500,16.2500,0.3125,7.2500,16.2500,continuous with member,signed FP-05; core 2-1/4 from finished top; show face 4-3/8; back face 4-7/8; all +/-1/32,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101E,Lower intermediate rail,1,1.5000,4.2500,16.2500,1.3750,4.0000,15.2500,horizontal,STOCK-L  + STOCK- signed FP-05; L one-piece core plus paired one-piece-width faces from the signed pool; CHK-SM-01; CONDITIONAL - LAMINATED MEMBER; LS-05 CHK-SM-01; CHK-FP-01; CHK-LAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101E-CORE,Lower intermediate rail long-grain core sheet,1,0.8750,4.2500,16.2500,0.8750,4.2500,16.2500,continuous with member,L-E-CORE; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101E-SF,Lower intermediate rail show-face lamella/sheet,1,0.3125,4.2500,16.2500,0.3125,4.2500,16.2500,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101E-BF,Lower intermediate rail back-face lamella/sheet,1,0.3125,4.2500,16.2500,0.3125,4.2500,16.2500,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101F,Bottom rail,1,1.5000,12.2500,16.2500,1.3750,12.0000,15.2500,horizontal,STOCK-J + STOCK-L  + STOCK- signed FP-05; L 5-3/4-inch + J 6-1/2-inch stave-built core and FP-05 multi-stave faces; CHK-SM-01/CHK-LAM-01/CHK-SEAM-01; CONDITIONAL - MAPPED SEAMS; LS-05 CHK-SM-01; CHK-FP-01; CHK-LAM-01; CHK-SEAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101F-CORE,Bottom rail long-grain core sheet,1,0.8750,12.2500,16.2500,0.8750,12.2500,16.2500,continuous with member,"L-F1-CORE + J-F2-CORE; core 5-3/4; show face 3, 6-1/2, and 9-1/2; back face 2-1/2, 5, and 9; all from finished top and all +/-1/32",no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101F-SF,Bottom rail show-face lamella/sheet,1,0.3125,12.2500,16.2500,0.3125,12.2500,16.2500,continuous with member,"signed FP-05; core 5-3/4; show face 3, 6-1/2, and 9-1/2; back face 2-1/2, 5, and 9; all from finished top and all +/-1/32",no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101F-BF,Bottom rail back-face lamella/sheet,1,0.3125,12.2500,16.2500,0.3125,12.2500,16.2500,continuous with member,"signed FP-05; core 5-3/4; show face 3, 6-1/2, and 9-1/2; back face 2-1/2, 5, and 9; all from finished top and all +/-1/32",no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101G,Center muntin,1,1.5000,3.2500,12.0000,1.3750,3.0000,11.0000,vertical,STOCK-J  + STOCK- signed FP-05; J one-piece core plus paired one-piece-width faces from the signed pool; CHK-SM-01; CONDITIONAL - LAMINATED MEMBER; LS-05 CHK-SM-01; CHK-FP-01; CHK-LAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101G-CORE,Center muntin long-grain core sheet,1,0.8750,3.2500,12.0000,0.8750,3.2500,12.0000,continuous with member,J-G-CORE; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101G-SF,Center muntin show-face lamella/sheet,1,0.3125,3.2500,12.0000,0.3125,3.2500,12.0000,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101G-BF,Center muntin back-face lamella/sheet,1,0.3125,3.2500,12.0000,0.3125,3.2500,12.0000,continuous with member,signed FP-05; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101H,Upper panel,1,0.6250,16.3750,15.5625,0.5000,15.8750,15.0625,vertical,STOCK-M; M-01; CHK-P-01; CONDITIONAL - MILLING HOLD; LS-05 CHK-RS-01; CHK-P-01; M-01,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101J,Center panel,1,0.6250,16.3750,16.0625,0.5000,15.8750,15.5625,vertical,STOCK-G; G-01; CHK-P-01; CONDITIONAL - MILLING HOLD; LS-05 CHK-RS-01; CHK-P-01; G-01,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101N,Lower-center panel,1,0.6250,16.3750,10.8125,0.5000,15.8750,10.3125,vertical,STOCK-H; H-01; CHK-P-01; CONDITIONAL - THICKNESS HOLD; LS-05 CHK-RS-01; CHK-P-01; H-01,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101K,Lower-left panel,1,0.6250,7.3750,12.3125,0.5000,6.8750,11.8125,vertical,STOCK-D; D-01; CHK-P-01; CONDITIONAL - MILLING HOLD; LS-05 CHK-RS-01; CHK-P-01; D-01,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101L,Lower-right panel,1,0.6250,7.3750,12.3125,0.5000,6.8750,11.8125,vertical,STOCK-D; D-01; CHK-P-01; CONDITIONAL - MILLING HOLD; LS-05 CHK-RS-01; CHK-P-01; D-01,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
